concept,dimension,support_en,support_zh,support_ar,top_en,top_zh,top_ar,js_zh_en,js_ar_en,js_zh_ar,mean_js
riverfront,scenes_settings,31,38,32,contentment=0.606,contentment=0.647,amusement=0.425,0.040194,0.155743,0.205767,0.133901
rocky wilderness,scenes_settings,33,35,31,fear=0.307,contentment=0.291,awe=0.352,0.132451,0.084348,0.184747,0.133848
footstool,objects_subjects,14,14,16,awe=0.297,contentment=0.405,awe=0.463,0.125341,0.102167,0.174008,0.133839
rural scene,scenes_settings,45,48,46,contentment=0.596,contentment=0.600,amusement=0.366,0.075683,0.139804,0.186004,0.133830
classical architecture,objects_subjects,21,22,18,awe=0.608,contentment=0.660,awe=0.333,0.224519,0.058376,0.118582,0.133826
dirt path,objects_subjects,685,740,665,contentment=0.616,contentment=0.741,amusement=0.389,0.038467,0.134012,0.228920,0.133800
village landscape,scenes_settings,40,38,38,amusement=0.438,contentment=0.341,awe=0.365,0.082568,0.115354,0.203365,0.133762
textured paint application,compositional_style,863,901,809,contentment=0.591,contentment=0.752,amusement=0.405,0.034218,0.141262,0.225655,0.133712
landscape,scenes_settings,64,71,60,contentment=0.504,contentment=0.616,awe=0.349,0.104734,0.116713,0.179600,0.133682
tassels,objects_subjects,23,24,28,fear=0.236,contentment=0.298,contentment=0.446,0.111589,0.146067,0.143288,0.133648
collage style,compositional_style,10,10,10,fear=0.310,amusement=0.310,something else=0.448,0.136101,0.059866,0.204745,0.133571
belt,objects_subjects,33,30,28,amusement=0.253,contentment=0.507,contentment=0.446,0.172374,0.144656,0.083659,0.133563
religious icon,objects_subjects,10,10,10,fear=0.310,sadness=0.379,something else=0.379,0.151771,0.133728,0.115000,0.133500
even lighting,compositional_style,18,18,17,awe=0.289,contentment=0.644,contentment=0.256,0.125084,0.093254,0.181899,0.133412
landscape background,objects_subjects,28,32,30,awe=0.569,contentment=0.726,contentment=0.449,0.226209,0.114023,0.059795,0.133342
painterly texture,compositional_style,10,10,10,awe=0.241,fear=0.310,awe=0.310,0.190209,0.057599,0.152205,0.133338
chinese seal script,symbolic_cultural_motifs,15,15,19,awe=0.231,contentment=0.385,contentment=0.574,0.149085,0.136172,0.114666,0.133308
greyish blues,colors_color_schemes,15,15,15,contentment=0.436,contentment=0.487,awe=0.333,0.146251,0.049487,0.204170,0.133303
man standing,objects_subjects,10,10,10,contentment=0.586,contentment=0.517,excitement=0.448,0.035195,0.232571,0.132130,0.133299
red roof,objects_subjects,41,43,38,contentment=0.473,contentment=0.705,amusement=0.459,0.062590,0.181566,0.155718,0.133291
horizontal scroll format,compositional_style,35,35,37,awe=0.392,contentment=0.418,contentment=0.325,0.168537,0.074333,0.156943,0.133271
red leaves,objects_subjects,33,32,33,contentment=0.253,contentment=0.534,contentment=0.387,0.164629,0.088014,0.147027,0.133223
man in red cloak,objects_subjects,10,11,10,fear=0.379,fear=0.484,sadness=0.310,0.115093,0.077982,0.206568,0.133214
tambourine,objects_subjects,40,38,38,excitement=0.303,contentment=0.576,amusement=0.459,0.174832,0.075213,0.149491,0.133179
crosier,symbolic_cultural_motifs,25,25,24,awe=0.424,contentment=0.458,awe=0.404,0.206939,0.059741,0.132769,0.133150
graphic illustration style,compositional_style,15,17,13,something else=0.333,contentment=0.488,amusement=0.257,0.180416,0.115367,0.103583,0.133122
pocket watch chain,objects_subjects,10,10,11,amusement=0.310,amusement=0.241,contentment=0.548,0.117419,0.127355,0.154513,0.133096
reflections on water,compositional_style,23,26,23,contentment=0.418,contentment=0.738,awe=0.309,0.136692,0.076197,0.186138,0.133009
necktie,objects_subjects,62,59,57,amusement=0.233,contentment=0.575,contentment=0.480,0.178898,0.138578,0.081550,0.133008
open field,scenes_settings,81,85,83,contentment=0.474,contentment=0.575,contentment=0.303,0.070248,0.120371,0.208358,0.132992
dagger,objects_subjects,18,21,18,fear=0.244,fear=0.569,anger=0.200,0.114965,0.090697,0.193234,0.132965
artist studio study,scenes_settings,11,11,10,awe=0.419,contentment=0.548,contentment=0.310,0.217823,0.101462,0.079610,0.132965
natural light,compositional_style,828,853,779,contentment=0.617,contentment=0.794,amusement=0.423,0.042870,0.121325,0.234593,0.132929
forest trees,objects_subjects,14,16,15,fear=0.351,fear=0.366,something else=0.333,0.015279,0.215377,0.167961,0.132872
circular fan format,compositional_style,63,59,59,contentment=0.467,disgust=0.417,contentment=0.575,0.175323,0.039758,0.183267,0.132783
roof,objects_subjects,19,21,20,contentment=0.617,contentment=0.686,amusement=0.347,0.015293,0.172121,0.210913,0.132776
fur trim,objects_subjects,16,17,15,amusement=0.366,contentment=0.674,contentment=0.385,0.211932,0.133427,0.052860,0.132740
artist signature seal,symbolic_cultural_motifs,14,14,14,contentment=0.297,contentment=0.351,awe=0.297,0.065380,0.119604,0.213229,0.132738
arched framing,compositional_style,40,46,40,awe=0.348,contentment=0.465,awe=0.281,0.217817,0.085430,0.094960,0.132736
camel,objects_subjects,23,23,22,contentment=0.527,contentment=0.418,amusement=0.283,0.116281,0.087489,0.194401,0.132723
elephants,objects_subjects,24,24,28,fear=0.263,disgust=0.368,awe=0.292,0.150950,0.056438,0.190707,0.132698
grassy ground,objects_subjects,123,133,123,contentment=0.475,contentment=0.665,amusement=0.380,0.054382,0.128887,0.214401,0.132557
tabletop setting,scenes_settings,24,26,23,contentment=0.474,contentment=0.672,amusement=0.345,0.049044,0.171369,0.177238,0.132550
hints of red,colors_color_schemes,38,39,37,contentment=0.341,contentment=0.632,excitement=0.277,0.081644,0.112247,0.203757,0.132549
desert landscape,objects_subjects,15,16,15,contentment=0.385,contentment=0.707,amusement=0.385,0.092136,0.093928,0.211369,0.132478
diagonal shadows,compositional_style,19,23,16,contentment=0.362,contentment=0.782,contentment=0.415,0.121597,0.145845,0.129897,0.132447
tan paper background,colors_color_schemes,34,33,36,contentment=0.299,disgust=0.360,contentment=0.481,0.180605,0.055869,0.160823,0.132432
nude female figure,objects_subjects,42,48,41,fear=0.161,fear=0.352,awe=0.231,0.124830,0.105657,0.166731,0.132406
wooden boats,objects_subjects,103,117,104,contentment=0.544,contentment=0.737,amusement=0.401,0.043351,0.149490,0.204339,0.132393
arched portico,objects_subjects,15,15,15,awe=0.385,contentment=0.487,awe=0.436,0.152149,0.056757,0.188261,0.132389
adobe buildings,objects_subjects,19,21,20,contentment=0.362,contentment=0.490,excitement=0.265,0.058336,0.133147,0.205635,0.132373
feathered hat,objects_subjects,52,52,50,amusement=0.416,contentment=0.611,amusement=0.339,0.235468,0.061800,0.099772,0.132347
blue-skinned figure,objects_subjects,40,36,38,excitement=0.236,fear=0.333,awe=0.412,0.083428,0.125289,0.188292,0.132336
stylized clouds,symbolic_cultural_motifs,48,48,50,contentment=0.314,contentment=0.295,awe=0.578,0.084123,0.137921,0.174964,0.132336
lute,objects_subjects,87,89,83,amusement=0.268,contentment=0.679,amusement=0.417,0.129979,0.035396,0.231593,0.132323
ocean view,scenes_settings,37,35,33,contentment=0.518,contentment=0.595,amusement=0.467,0.005565,0.190087,0.201311,0.132321
green cloak,objects_subjects,15,17,11,amusement=0.231,contentment=0.721,contentment=0.484,0.153474,0.163422,0.080038,0.132312
picnic blanket,objects_subjects,20,23,19,contentment=0.633,contentment=0.709,amusement=0.532,0.046935,0.118248,0.231723,0.132302
deep purple,colors_color_schemes,152,161,147,contentment=0.444,contentment=0.662,amusement=0.399,0.056555,0.133086,0.207207,0.132282
building dome,objects_subjects,10,11,10,something else=0.310,contentment=0.290,awe=0.379,0.106491,0.134580,0.155664,0.132245
detailed botanical illustration,compositional_style,11,11,11,contentment=0.290,contentment=0.419,awe=0.290,0.115384,0.102567,0.178761,0.132237
wicker basket,objects_subjects,29,31,29,contentment=0.463,contentment=0.662,amusement=0.403,0.113193,0.159108,0.124377,0.132226
scenic vista,scenes_settings,14,14,16,contentment=0.459,contentment=0.459,contentment=0.366,0.155413,0.062112,0.179046,0.132191
birch trees,objects_subjects,160,169,156,contentment=0.574,contentment=0.689,amusement=0.427,0.045185,0.150550,0.200475,0.132070
skeleton,objects_subjects,28,30,29,fear=0.354,fear=0.826,fear=0.373,0.135526,0.118193,0.142336,0.132018
turquoise,colors_color_schemes,206,166,151,contentment=0.506,contentment=0.695,amusement=0.357,0.061146,0.122500,0.212291,0.131979
floral wallpaper,objects_subjects,11,12,10,contentment=0.548,contentment=0.576,amusement=0.241,0.062221,0.174104,0.159577,0.131967
brown silk background,colors_color_schemes,21,21,21,contentment=0.373,disgust=0.373,something else=0.255,0.130009,0.127584,0.138284,0.131959
thatched-roof houses,objects_subjects,75,73,83,contentment=0.409,disgust=0.432,contentment=0.474,0.170690,0.035677,0.189371,0.131913
peony flowers,objects_subjects,21,21,23,contentment=0.412,contentment=0.608,contentment=0.382,0.139443,0.067757,0.188476,0.131892
black garment,objects_subjects,10,10,10,fear=0.310,fear=0.310,contentment=0.448,0.125749,0.187811,0.082105,0.131889
impressionist brushwork,compositional_style,1083,1148,1066,contentment=0.609,contentment=0.787,amusement=0.446,0.031211,0.141977,0.222458,0.131882
wooden logs,objects_subjects,15,15,15,sadness=0.282,contentment=0.385,contentment=0.333,0.035731,0.174350,0.185559,0.131880
white birds,objects_subjects,25,27,23,contentment=0.492,contentment=0.651,amusement=0.418,0.026024,0.146103,0.223138,0.131755
checkerboard pattern,objects_subjects,10,10,10,contentment=0.379,contentment=0.241,awe=0.379,0.067630,0.138451,0.189075,0.131719
pavement,objects_subjects,14,15,14,awe=0.297,contentment=0.436,amusement=0.243,0.079448,0.099437,0.216053,0.131646
abstract,compositional_style,42,46,43,something else=0.462,contentment=0.267,something else=0.347,0.192032,0.076797,0.126077,0.131635
color field painting,compositional_style,102,111,102,contentment=0.371,contentment=0.498,something else=0.343,0.124259,0.091941,0.178666,0.131622
green grass,colors_color_schemes,20,21,19,contentment=0.469,contentment=0.529,amusement=0.447,0.056327,0.130756,0.207624,0.131569
thatched hut,objects_subjects,37,32,34,contentment=0.470,disgust=0.425,contentment=0.532,0.174596,0.043628,0.176409,0.131544
fine line ink drawing,compositional_style,12,12,12,awe=0.394,contentment=0.515,contentment=0.394,0.153580,0.130675,0.110292,0.131516
brown hat,objects_subjects,15,15,15,amusement=0.231,contentment=0.436,contentment=0.333,0.190736,0.126299,0.077389,0.131475
sliding door,objects_subjects,14,12,12,contentment=0.351,disgust=0.333,awe=0.333,0.107890,0.092970,0.193484,0.131448
forested hills,scenes_settings,18,18,18,awe=0.244,disgust=0.511,contentment=0.333,0.172342,0.025831,0.195947,0.131373
venetian canal,scenes_settings,45,48,43,contentment=0.394,contentment=0.676,amusement=0.284,0.062248,0.109367,0.222376,0.131330
oriental rug pattern,symbolic_cultural_motifs,15,15,13,contentment=0.436,contentment=0.744,amusement=0.429,0.070114,0.148702,0.175070,0.131295
kiosk,objects_subjects,45,46,44,contentment=0.495,contentment=0.683,amusement=0.381,0.032842,0.155944,0.205047,0.131278
multi-panel layout,compositional_style,20,20,20,contentment=0.265,contentment=0.429,contentment=0.469,0.188315,0.102767,0.102731,0.131271
blended brushwork,compositional_style,30,30,30,awe=0.391,contentment=0.739,contentment=0.449,0.232125,0.068360,0.093238,0.131241
fluid brushwork,compositional_style,57,60,56,contentment=0.252,contentment=0.566,awe=0.455,0.106031,0.127529,0.160108,0.131223
village,objects_subjects,22,25,23,contentment=0.434,contentment=0.661,amusement=0.382,0.035603,0.157193,0.200830,0.131209
wooden bridge,objects_subjects,232,225,218,contentment=0.497,contentment=0.512,contentment=0.470,0.154807,0.038567,0.200185,0.131186
gold background,objects_subjects,10,11,10,contentment=0.379,contentment=0.613,amusement=0.448,0.035791,0.176387,0.181371,0.131183
cottage garden,scenes_settings,26,25,25,contentment=0.607,contentment=0.627,amusement=0.356,0.056245,0.137968,0.199251,0.131155
patterned garments,compositional_style,12,12,12,contentment=0.455,amusement=0.212,amusement=0.394,0.075194,0.189365,0.128895,0.131151
wavy lines,compositional_style,10,11,10,amusement=0.241,contentment=0.290,contentment=0.379,0.164647,0.141889,0.086771,0.131102
river valley,scenes_settings,675,675,654,contentment=0.383,contentment=0.516,contentment=0.406,0.164729,0.040733,0.187841,0.131101
coral pink,colors_color_schemes,16,17,14,excitement=0.317,contentment=0.628,contentment=0.405,0.169079,0.147527,0.076678,0.131095
grey background,colors_color_schemes,59,63,59,contentment=0.386,contentment=0.541,awe=0.370,0.085395,0.089486,0.218392,0.131091
house facade,objects_subjects,25,25,26,contentment=0.593,contentment=0.763,amusement=0.410,0.036351,0.135401,0.221506,0.131086
shrubs,objects_subjects,314,341,307,contentment=0.620,contentment=0.719,amusement=0.377,0.031230,0.139742,0.222213,0.131062
dark outdoor setting,scenes_settings,25,27,25,sadness=0.220,contentment=0.365,sadness=0.390,0.130865,0.117840,0.144304,0.131003
bows,objects_subjects,26,26,26,awe=0.344,contentment=0.377,excitement=0.279,0.107175,0.074004,0.211806,0.130995
still life,compositional_style,755,745,685,contentment=0.618,contentment=0.803,amusement=0.405,0.031671,0.140052,0.221139,0.130954
minarets,objects_subjects,31,31,29,awe=0.437,contentment=0.634,amusement=0.403,0.078876,0.153316,0.160610,0.130934
plate,objects_subjects,104,109,97,contentment=0.456,contentment=0.815,amusement=0.350,0.128393,0.084452,0.179874,0.130906
19th-century setting,scenes_settings,10,10,10,contentment=0.448,contentment=0.586,amusement=0.379,0.072845,0.089876,0.229979,0.130900
calligraphy and painting integration,compositional_style,12,12,14,contentment=0.697,disgust=0.455,contentment=0.622,0.175223,0.034399,0.183074,0.130899
layered mountain composition,compositional_style,28,26,26,awe=0.323,contentment=0.410,awe=0.410,0.188120,0.076731,0.127796,0.130882
bay,objects_subjects,29,32,30,contentment=0.552,contentment=0.753,amusement=0.420,0.043522,0.134016,0.215088,0.130875
wooded valley,scenes_settings,16,16,16,contentment=0.561,contentment=0.463,amusement=0.317,0.068398,0.149071,0.175053,0.130840
horseback riders,objects_subjects,16,15,13,awe=0.366,fear=0.385,amusement=0.200,0.132216,0.140208,0.120018,0.130814
cathedral,objects_subjects,20,25,20,contentment=0.388,contentment=0.593,awe=0.510,0.089262,0.104988,0.198190,0.130813
flags,objects_subjects,117,128,115,contentment=0.284,contentment=0.668,awe=0.297,0.120823,0.037205,0.234279,0.130769
white blossoms,objects_subjects,54,54,51,contentment=0.641,contentment=0.590,contentment=0.405,0.096275,0.098259,0.197674,0.130736
geometric floor patterns,symbolic_cultural_motifs,22,21,23,awe=0.321,contentment=0.451,contentment=0.382,0.165869,0.097818,0.128479,0.130722
rocky gorge,scenes_settings,21,23,21,fear=0.333,contentment=0.418,awe=0.451,0.111719,0.059968,0.220377,0.130688
geometric patterning,compositional_style,22,23,20,contentment=0.358,contentment=0.345,contentment=0.347,0.134154,0.051929,0.205953,0.130679
layered perspective,compositional_style,19,21,20,awe=0.277,disgust=0.373,contentment=0.265,0.174970,0.063752,0.153312,0.130678
xieyi style,compositional_style,162,156,164,contentment=0.538,contentment=0.508,contentment=0.549,0.183727,0.008548,0.199680,0.130651
fur cloak,objects_subjects,10,10,10,awe=0.241,contentment=0.517,contentment=0.310,0.167227,0.141406,0.083272,0.130635
pointillist-like texture,compositional_style,15,16,15,contentment=0.436,contentment=0.561,amusement=0.231,0.074411,0.142633,0.174498,0.130514
stone cottages,objects_subjects,20,27,20,contentment=0.592,contentment=0.460,awe=0.429,0.105512,0.125475,0.160503,0.130497
divided composition,compositional_style,20,21,20,amusement=0.388,contentment=0.529,contentment=0.265,0.203395,0.060679,0.127399,0.130491
red ink seals,colors_color_schemes,12,12,12,awe=0.333,disgust=0.394,contentment=0.333,0.155587,0.118956,0.116891,0.130478
ink line drawing,compositional_style,18,19,19,contentment=0.511,contentment=0.277,contentment=0.489,0.142391,0.055878,0.193062,0.130444
textured paper background,compositional_style,13,15,15,awe=0.371,contentment=0.436,something else=0.282,0.104793,0.076018,0.210435,0.130415
ink wash painting,compositional_style,985,947,999,contentment=0.408,disgust=0.442,contentment=0.463,0.191078,0.007776,0.192301,0.130385
ram,objects_subjects,13,13,13,fear=0.600,fear=0.429,awe=0.314,0.094027,0.160639,0.136471,0.130379
red foliage,objects_subjects,20,18,18,contentment=0.633,contentment=0.556,amusement=0.289,0.067287,0.141437,0.182374,0.130366
horizontal lines,objects_subjects,14,15,15,something else=0.297,disgust=0.231,awe=0.436,0.086947,0.167463,0.136586,0.130332
guqin,objects_subjects,15,17,15,contentment=0.641,disgust=0.442,contentment=0.538,0.162351,0.052970,0.175555,0.130292
anatomical illustration,compositional_style,10,10,10,something else=0.310,contentment=0.379,awe=0.448,0.169923,0.104005,0.116866,0.130265
daytime outdoor scene,scenes_settings,137,147,136,contentment=0.597,contentment=0.736,amusement=0.302,0.048854,0.125150,0.216409,0.130138
draped garment,objects_subjects,10,10,10,awe=0.241,contentment=0.379,sadness=0.379,0.179636,0.192271,0.018476,0.130128
purple dress,objects_subjects,25,25,23,contentment=0.322,contentment=0.525,amusement=0.491,0.052709,0.108609,0.229049,0.130122
hillside path,scenes_settings,13,13,13,contentment=0.314,contentment=0.657,contentment=0.371,0.143785,0.122756,0.123793,0.130111
riverside retreat,scenes_settings,14,12,12,contentment=0.622,contentment=0.455,awe=0.333,0.101612,0.120422,0.168286,0.130107
figures in robes,objects_subjects,128,89,91,fear=0.291,contentment=0.572,awe=0.372,0.145443,0.094800,0.149837,0.130027
autumn scene,scenes_settings,194,203,190,contentment=0.652,contentment=0.672,amusement=0.398,0.043482,0.134735,0.211797,0.130005
cloud motifs,symbolic_cultural_motifs,29,27,27,awe=0.284,contentment=0.365,awe=0.333,0.189861,0.069335,0.130780,0.129992
incense burner,objects_subjects,23,23,23,contentment=0.273,contentment=0.527,contentment=0.345,0.185381,0.108930,0.095656,0.129989
orange-red,colors_color_schemes,49,51,40,contentment=0.346,contentment=0.568,amusement=0.281,0.107304,0.105789,0.176840,0.129978
table surface,objects_subjects,15,16,15,contentment=0.282,contentment=0.561,amusement=0.333,0.084093,0.133449,0.172250,0.129931
figures in traditional robes,objects_subjects,25,21,23,contentment=0.288,contentment=0.451,excitement=0.309,0.169192,0.122015,0.098535,0.129914
pale grays,colors_color_schemes,31,30,30,contentment=0.577,contentment=0.710,awe=0.333,0.059238,0.104500,0.225966,0.129901
small sailboat,objects_subjects,18,19,16,contentment=0.511,contentment=0.617,amusement=0.220,0.032248,0.184028,0.173373,0.129883
fresco style,compositional_style,21,21,20,awe=0.333,contentment=0.490,awe=0.265,0.170569,0.044287,0.174676,0.129844
grassy hills,objects_subjects,125,127,117,contentment=0.568,contentment=0.711,amusement=0.391,0.049781,0.118965,0.220668,0.129805
textured oil painting,compositional_style,72,79,72,contentment=0.438,contentment=0.593,amusement=0.333,0.047694,0.149704,0.191917,0.129772
crests,objects_subjects,12,12,12,awe=0.394,contentment=0.394,awe=0.273,0.170304,0.048990,0.169971,0.129755
impressionistic brushwork,compositional_style,1738,1786,1596,contentment=0.575,contentment=0.787,amusement=0.420,0.042113,0.121339,0.225765,0.129739
industrial chimneys,objects_subjects,14,21,13,contentment=0.568,contentment=0.725,amusement=0.486,0.048957,0.176275,0.163983,0.129738
white curtains,objects_subjects,11,10,10,awe=0.290,contentment=0.655,amusement=0.241,0.224145,0.028182,0.136880,0.129736
gold flecks,colors_color_schemes,12,14,12,contentment=0.333,disgust=0.351,contentment=0.273,0.162849,0.093800,0.132289,0.129646
water wheel,objects_subjects,16,15,15,contentment=0.610,contentment=0.590,amusement=0.385,0.069747,0.132417,0.186496,0.129553
flag,objects_subjects,45,52,40,awe=0.273,contentment=0.504,contentment=0.258,0.093063,0.106076,0.189499,0.129546
celestial sky,scenes_settings,23,23,23,awe=0.455,contentment=0.418,awe=0.564,0.188238,0.050588,0.149755,0.129527
black hair,colors_color_schemes,36,36,35,awe=0.259,contentment=0.481,amusement=0.190,0.141036,0.100843,0.146512,0.129463
chrysanthemum,objects_subjects,18,18,18,contentment=0.244,disgust=0.467,contentment=0.378,0.133649,0.062397,0.192125,0.129390
seal marks,objects_subjects,12,12,14,contentment=0.455,disgust=0.394,contentment=0.514,0.168752,0.075639,0.143729,0.129374
roses,objects_subjects,129,144,133,contentment=0.536,contentment=0.724,amusement=0.462,0.040167,0.134136,0.213784,0.129362
high-angle view,compositional_style,208,215,203,contentment=0.553,contentment=0.736,amusement=0.431,0.032034,0.147934,0.208063,0.129344
riders,objects_subjects,28,30,30,excitement=0.508,contentment=0.594,excitement=0.275,0.196582,0.049103,0.142335,0.129340
curled hair,objects_subjects,10,11,10,amusement=0.310,contentment=0.548,contentment=0.448,0.213274,0.125095,0.049642,0.129337
shako hat,objects_subjects,10,10,10,amusement=0.310,contentment=0.448,amusement=0.241,0.214267,0.082803,0.090818,0.129296
fishermen,objects_subjects,28,26,25,contentment=0.538,contentment=0.639,amusement=0.288,0.056298,0.117206,0.214380,0.129295
coastal landscape,scenes_settings,1241,1192,1078,contentment=0.578,contentment=0.707,amusement=0.411,0.031723,0.128372,0.227735,0.129277
pointillism,compositional_style,368,391,353,contentment=0.560,contentment=0.722,amusement=0.429,0.036792,0.126442,0.224592,0.129275
vegetables,objects_subjects,10,10,10,contentment=0.379,contentment=0.586,amusement=0.448,0.090894,0.127497,0.169303,0.129231
village,scenes_settings,14,14,12,contentment=0.514,contentment=0.730,awe=0.394,0.039603,0.130158,0.217876,0.129212
light rays,objects_subjects,16,15,15,awe=0.659,contentment=0.385,awe=0.231,0.173743,0.129731,0.084111,0.129195
seaside village,scenes_settings,38,41,40,contentment=0.459,contentment=0.802,amusement=0.371,0.076070,0.136880,0.174400,0.129117
soft grey,colors_color_schemes,296,322,284,contentment=0.637,contentment=0.737,amusement=0.338,0.035718,0.133220,0.218372,0.129103
skull at the base of the cross,symbolic_cultural_motifs,21,21,20,sadness=0.608,fear=0.451,sadness=0.551,0.179206,0.029227,0.178797,0.129076
imperial collector seals,symbolic_cultural_motifs,15,15,15,contentment=0.333,disgust=0.385,contentment=0.282,0.130002,0.079012,0.178172,0.129062
owl,objects_subjects,16,15,13,amusement=0.220,contentment=0.436,amusement=0.200,0.157825,0.073400,0.155899,0.129041
red-brown,colors_color_schemes,41,41,36,contentment=0.495,contentment=0.604,amusement=0.432,0.070128,0.133106,0.183872,0.129035
black shawl,objects_subjects,14,15,15,awe=0.243,contentment=0.692,contentment=0.590,0.192569,0.165545,0.028887,0.129000
woman sitting,objects_subjects,10,10,10,sadness=0.586,contentment=0.586,contentment=0.655,0.119246,0.232614,0.035075,0.128978
warm ochre background,colors_color_schemes,29,28,28,contentment=0.254,contentment=0.600,contentment=0.385,0.192405,0.026502,0.167971,0.128960
textured canvas effect,compositional_style,65,31,30,contentment=0.554,contentment=0.549,amusement=0.362,0.066369,0.192937,0.127514,0.128940
off-whites,colors_color_schemes,14,20,14,contentment=0.459,contentment=0.469,excitement=0.297,0.098339,0.140754,0.147701,0.128932
rose,objects_subjects,20,22,20,contentment=0.306,contentment=0.736,amusement=0.429,0.142741,0.056318,0.187669,0.128909
text,symbolic_cultural_motifs,10,11,10,amusement=0.379,contentment=0.355,amusement=0.379,0.159930,0.066846,0.159930,0.128902
golden yellow background,colors_color_schemes,19,19,18,awe=0.574,contentment=0.404,contentment=0.333,0.215854,0.084853,0.085939,0.128882
lilies,objects_subjects,28,31,28,contentment=0.323,contentment=0.662,amusement=0.323,0.106568,0.092891,0.187152,0.128870
lyre,objects_subjects,15,17,15,sadness=0.231,contentment=0.395,amusement=0.231,0.184471,0.039710,0.162422,0.128868
autumn leaves,objects_subjects,119,122,116,contentment=0.619,contentment=0.723,amusement=0.386,0.043240,0.135752,0.207589,0.128860
landscape orientation,compositional_style,85,85,78,contentment=0.553,contentment=0.788,amusement=0.370,0.046494,0.122664,0.217406,0.128855
light-colored dress,objects_subjects,14,17,15,awe=0.514,contentment=0.581,contentment=0.385,0.196653,0.120440,0.069370,0.128821
flowering plant,objects_subjects,26,24,26,contentment=0.475,contentment=0.649,contentment=0.410,0.099784,0.140226,0.146378,0.128796
vertical lines,objects_subjects,10,10,10,something else=0.310,contentment=0.241,something else=0.310,0.167309,0.061181,0.157870,0.128787
warm browns,colors_color_schemes,50,51,46,contentment=0.431,contentment=0.784,amusement=0.347,0.116475,0.083898,0.185935,0.128769
bridge crossing,scenes_settings,16,17,11,contentment=0.463,contentment=0.628,amusement=0.419,0.095550,0.132369,0.158300,0.128740
outdoor market,scenes_settings,87,89,85,contentment=0.388,contentment=0.733,amusement=0.341,0.100552,0.083014,0.202552,0.128706
barns,objects_subjects,15,15,15,contentment=0.487,contentment=0.641,amusement=0.487,0.022519,0.138705,0.224890,0.128705
dense foliage,objects_subjects,72,75,72,contentment=0.542,contentment=0.660,amusement=0.373,0.060564,0.090157,0.235383,0.128701
outdoor setting,compositional_style,57,61,56,contentment=0.642,contentment=0.756,amusement=0.421,0.031760,0.136994,0.217177,0.128644
fur coat,objects_subjects,20,22,19,amusement=0.265,contentment=0.472,contentment=0.702,0.153600,0.190804,0.041428,0.128610
outdoor natural lighting,compositional_style,70,81,75,contentment=0.651,contentment=0.754,amusement=0.396,0.041929,0.118904,0.224933,0.128588
lake view,scenes_settings,15,22,14,contentment=0.538,contentment=0.698,amusement=0.405,0.024990,0.150839,0.209876,0.128568
residential exterior,scenes_settings,26,25,25,contentment=0.508,contentment=0.525,amusement=0.390,0.075000,0.126077,0.184498,0.128525
waterfront,scenes_settings,330,307,282,contentment=0.483,contentment=0.698,amusement=0.340,0.071487,0.110825,0.203122,0.128478
buds,objects_subjects,47,42,43,contentment=0.573,contentment=0.613,contentment=0.411,0.076144,0.147883,0.161393,0.128473
distant figures,objects_subjects,147,159,142,contentment=0.465,contentment=0.609,amusement=0.358,0.093191,0.102238,0.189984,0.128471
shades of black,colors_color_schemes,46,42,46,contentment=0.267,disgust=0.441,contentment=0.327,0.163741,0.040726,0.180922,0.128463
calligraphic inscriptions,compositional_style,15,15,15,awe=0.333,contentment=0.538,contentment=0.333,0.160814,0.149046,0.075303,0.128388
reflections in water,objects_subjects,19,20,20,contentment=0.574,contentment=0.714,amusement=0.469,0.027255,0.172473,0.185332,0.128353
mountain pass,scenes_settings,54,60,60,awe=0.350,contentment=0.349,awe=0.271,0.142591,0.034682,0.207770,0.128348
outdoor painting scene,scenes_settings,10,10,10,contentment=0.517,contentment=0.586,amusement=0.448,0.023478,0.153386,0.207961,0.128275
smooth shading,compositional_style,13,16,15,amusement=0.429,amusement=0.415,amusement=0.231,0.155020,0.086356,0.143305,0.128227
countryside landscape,scenes_settings,51,53,43,contentment=0.586,contentment=0.600,contentment=0.284,0.077581,0.101065,0.206011,0.128219
white chemise,objects_subjects,30,30,30,awe=0.362,contentment=0.507,contentment=0.420,0.212464,0.135888,0.036292,0.128215
harbor,scenes_settings,281,260,236,contentment=0.499,contentment=0.773,amusement=0.326,0.070474,0.088044,0.226006,0.128175
paper lantern,objects_subjects,10,10,10,something else=0.379,contentment=0.517,contentment=0.379,0.154835,0.153473,0.076029,0.128112
sandy beach,objects_subjects,198,229,196,contentment=0.620,contentment=0.743,amusement=0.436,0.017536,0.151219,0.215505,0.128087
red background,objects_subjects,10,10,10,sadness=0.517,contentment=0.241,contentment=0.241,0.100654,0.191596,0.091942,0.128064
woman in green dress,objects_subjects,16,15,15,sadness=0.415,contentment=0.385,contentment=0.487,0.153593,0.176887,0.053527,0.128002
peaches,objects_subjects,163,169,152,contentment=0.582,contentment=0.775,amusement=0.399,0.041791,0.137121,0.205036,0.127983
cloud patterns,symbolic_cultural_motifs,50,48,48,awe=0.358,contentment=0.429,awe=0.486,0.164837,0.025170,0.193775,0.127927
seal script stamp,symbolic_cultural_motifs,19,15,15,contentment=0.404,contentment=0.436,contentment=0.385,0.139047,0.066114,0.178587,0.127916
